URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/bundle-type,4.0.1,active,"2.16.840.1.113883.4.642.4.621",BundleType,BundleType,"Indicates the purpose of a bundle - how it is intended to be used.","ValueSet/bundle-type"
http://hl7.org/fhir/http-verb,4.0.1,active,"2.16.840.1.113883.4.642.4.625",HTTPVerb,HTTPVerb,"HTTP verbs (in the HTTP command line). See [HTTP rfc](https://tools.ietf.org/html/rfc7231) for details.","ValueSet/http-verb"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/questionnaire-answers-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.448",QuestionnaireResponseStatus,QuestionnaireResponseStatus,"Lifecycle status of the questionnaire response.","ValueSet/questionnaire-answers-status"
http://hl7.org/fhir/search-entry-mode,4.0.1,active,"2.16.840.1.113883.4.642.4.623",SearchEntryMode,SearchEntryMode,"Why an entry is in the result set - whether it's included as a match or because of an _include requirement, or to convey information or warning information about the search process.","ValueSet/search-entry-mode"
http://hl7.org/fhir/sid/icd-10,2.1.1,retired,"2.16.840.1.113883.6.3",Icd10,ICD-10,"International Classification of Diseases revision 10 (ICD 10)","ValueSet/EnfermedadesPreviasCodificacionVS,ValueSet/ComplicacionEmbarazoOtroVS"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/EsaviOtroVS,ValueSet/EnfermedadesPreviasCodificacionVS,ValueSet/CodigoMedicamentoVS,ValueSet/FormaFarmaceuticaVS,ValueSet/questionnaire-answers,ValueSet/ViaAdminMedicamentoVS,ValueSet/CodigoNoWhoVacunaVS,ValueSet/ComplicacionEmbarazoOtroVS"
http://terminology.hl7.org/CodeSystem/v2-0203,4.0.0,active,"2.16.840.1.113883.18.108",IdentifierType,identifierType,"HL7-defined code system of concepts specifying type of identifier. Used in HL7 Version 2.x messaging data types CX, PLN, PPN, XCN and XON.","ValueSet/identifier-type"
https://paho.org/fhir/esavi/CodeSystem/ClasificacionDesenlaceCS,0.2.0,active,,ClasificacionDesenlaceCS,Desenlaces Tras ESAVI,"Clasificación de Desenlace Tras Sufrir ESAVI","ValueSet/ClasificacionDesenlaceVS"
https://paho.org/fhir/esavi/CodeSystem/ClasificacionDesenlaceNaranjoCS,0.2.0,active,,ClasificacionDesenlaceNaranjoCS,Clasificación de causalidad Naranjo,"Método de clasificación de causalidad Naranjo","ValueSet/ClasificacionDesenlaceNaranjoVS"
https://paho.org/fhir/esavi/CodeSystem/ClasificacionDesenlaceWHOAEFICS,0.2.0,active,,ClasificacionDesenlaceWHOAEFICS,Clasificación de causalidad WHO-AEFI,"Método de clasificación de causalidad WHO-AEFI","ValueSet/ClasificacionDesenlaceWHOAEFIVS"
https://paho.org/fhir/esavi/CodeSystem/ClasificacionDesenlaceWHOUMCCS,0.2.0,active,,ClasificacionDesenlaceWHOUMCCS,Clasificación de causalidad WHO-UMC,"Método de clasificación de causalidad WHO-UMC","ValueSet/ClasificacionDesenlaceWHOUMCVS"
https://paho.org/fhir/esavi/CodeSystem/CodigoWhoFabricanteCS,0.2.0,active,,CodigoWhoFabricanteCS,Fabricante   Vacuna,"Códigos Fabricantes Vacunas de WHO","ValueSet/CodigoWhoFabricanteVS"
https://paho.org/fhir/esavi/CodeSystem/ComplicacionEmbarazoCS,0.2.0,active,,ComplicacionEmbarazoCS,Complicaciones de Embarazo,"Códigos para las Complicaciones de Embarazo","ValueSet/ComplicacionEmbarazoVS"
https://paho.org/fhir/esavi/CodeSystem/DirOrgNotiCS,0.2.0,active,,DirOrgNotiCS,Códigos PAHO para Direcciones,"Códigos para Direcciones según PAHO","ValueSet/DirOrgNotiVS"
https://paho.org/fhir/esavi/CodeSystem/MedDRACS,0.2.0,active,,MedDRACS,Fragmento de MedDRA en español,"Códigos MedDRA con descripción en español","ValueSet/CodigoMedDRAEnfPreviaVS,ValueSet/ComplicacionEmbarazoMedDRAVS,ValueSet/EsaviMedDRAVS"
